Name of Company,Type of Industry,Company Address
1 to 1 Marketing Inc  ,Essential Commodities Retailers (Marketing),"Pureplus Compound A. Mabini St., Manggahan, Pasig City"
"2Go Group, Inc. *",Logistic and Shipping,"8&9 F Tower 1 Double Dragon Plaza, Meridian Park, Corner, Macapagal Avenue and EDSA ext. Bay area, Pasay City,"
"365º Services, Inc.",,"LG-03 Cityland Shaw Tower, Shaw Boulevard, Ortigas Center, Mandaluyong City, Philippines"
457 Avenue | Village 88,Software & Computer Services,"236 California Avenue, San Vicente San Fernando, La Union, Philippines"
4B Construction Corporation *,No Folder,"50 Road 1, Bagong Pag-Asa, Quezon City, Philippines 1105"
4E Builders,Construction & Materials,"L35 VILLA ANGELICA, CAMARIN RD. NORTH CALOOCAN CITY "
721 Builders Corporation,Construction and Materials,"B1 L23 Cambridge Drive, brgy Kaypian City of San Jose Del Monte, Bulacan"
"7th Media Digital Studios, Inc. *",Academic institution,"Unit 1408, 14/F Cityland Herrera Tower, No. 98 V.A. Rufino Street cor. Valero Street, Salcedo Village, Bel Air, Makati City 1209"
"88SITES.com, Inc.",Advertising .,"9F: Suite 907 Taipan Place Building, F. Ortigas JR. Road Ortigas Center Pasig City"
8Finity Digital Solutions Corporation,Digital Solution .,"G/F Sureshot Sportsville, 2848-C Jose Abad Santos Avenue, Manila, Philippines"
"8Layer Technologies, Inc. *",IT Colsultancy Distribution and Research and Development,"Seven East Capitol Building, No. 7 East Capitol Drive cor. Sta. Rosa Street, Kapitolyo, Pasig City, Philippines 1603"
"98Labs, Inc.",Software and Computer Services,"Unit 917 Cityland Herrera Tower, Rufino Street cor. Valero Street, Salcedo Village, Makati City"
9Dot Strategies,Education Management,"3/F Eurovilla ll, 118 V.A Rufino st, Legaspi Village, Makati City"
A-5 Safety System Corporation,Construction and Materials,"Quezon blvd. brgy. 37-D Poblacion, Davao City, Davao Del Sur"
A. M. Ayunan Construction,Construction,"916 Palawan St., Brgy. 574 Zone 56, Sampaloc, Manila"
"A. Magsaysay, Inc. Transport and Logistics",Transport And Logistics,"18/F Times Plaza Building, United Nations Avenue cor. Taft Avenue, Ermita, Manila, Philippines 1000"
"Abiva Publishing House, Inc. *",Educational Publishing,"Abiva Building, 851 G. Araneta Avenue, Quezon City, Philippines"
Aboitiz - Therma Mobile Inc.,,"PFDA Building, Navotas Fishport Complex, North Bay Boulevard, Navotas City, Philippines"
"Aboitiz Equity Ventures, Inc.",,"NAC Tower, 32nd St. Bonifacio Global City, Taguig City Topy II Building, No. 3 Economia St. Libis Quezon City"
ABS-CBN Broadcasting Corporation,Television Broadcasting .,"ABS-CBN Broadcast Center, Sgt. Esguerra Avenue cor Mother Ignacia Street, Diliman, Quezon City 1103 Philippines"
"ABS-CBN Film Productions, Inc. (AFPI)",Media and Productions,"2/F Eugenio Lopez Communication Center (ELJCC) Buildinf, Eugenio Loppez Drive, Mo. Ignacia Street, Quezon City"
ABS-CBN Foundation,,"8/F ELJ Bldg., ABS-CBN Comp. Mo. Ignacia Ave. Q.C."
"AC Technical Services, Inc. *",Research Firm .,"2671 Agutaya Street, Brgy. Pinagkaisahan, Makati City"
"Accent Micro Technologies, Inc. *",Filipino Technology Company,"8th Floor East tower, Tektite Towers Ortigas Centre, Pasig City"
"Accenture, Inc.",Business Process Outsourcing,"7th Floor Robinsons Cybergate 1, Pioneer St. corner EDSA, Mandaluyong City"
"Accessnet Services Asia, Inc.",No Other Documents,"Unit 301 Missouri Square, 101 Connecticut Street, Greenhills, San Juan City, Philippines"
"Accu-Map, Inc.",Electronic Publishing,"11/F Columbia Tower, Ortigas Avenue, Greenhills, Mandaluyong City 1550"
Ace Insurance Company of North America,,"24F Zuellig Bldg Makati Avenue corner Paseo de Roxas, Makati"
Ace Saatchi & Saatchi,Advertising/ Design/ Marketing,2296 Don Chino Roces Ave. Makati
Ace Secured Data Company,No Other Documents,"17-A Luzon Avenue, Galas, Quezon City, Philippines"
"Acer Philippines, Inc. (APHI)",Software and Services,"1651 Paz M. Guazon St. Paco, Manila"
Aces Chassis Management & Marketing Corp. (Best Trailers Corp.),,"G/F Lanmbert Williams Logistics, J1 Ninoy Aquino Avenue, San Dionisio, Parañaque City, Philippines"
"Aces High Commercial Trading, Inc. (Dealspot Philippines)",Chemicals Business,"Unit 18D Goldland Tower, No. 10 Eisenhower Street, Greenhills, San Juan City, Philippines"
Aeonprime Land Development Corp.,Construction & Materials,"Lot 2A-3 Blk-47 Filinvest City North Brigeway cor.Alabang Zapote Rd. Alabang, Muntinlupa City 1781"
Achieve Without Borders,Software and Computer Services/ Technology Hardware and Equipment,"A11TH FLR. GLOBAL TOWER, 2029 MASCADO ST.  BRGY. BANGKAL, MAKATI CITY"
"ACLT Computing, Inc.",Human Resource Information System .,"902 Rufino Bldg., 6784 Ayala Ave., Makati City"
"Acquire Personnel and Training Services, Inc.",BPO And Advertising,"403 Cattleya Building, 235 Salcedo Street, Legaspi Village, Makati City, Philippines"
Acquisition Service Implementation & Construction Inc. (ASIC Inc.),Telecom Industry .,"Unit 707, 7/F Richmonde Plaza, No. 21 San Miguel Avenue cor. Lourdes Drive, Ortigas Complex, Pasig City, Philippines"
Acre Airconditioning Specialists Inc.,Manufacturing Services,"1st Ave. Arturo Drive, Bagumbayan, Taguig"
ACS of the Philippines,Learning Content Development .,"7/F One E-Com Center Building, Pacific Drive, MOA Complex, Pasay city"
"ACS Technologies Ltd. (Advanced Card Systems, Ltd.) *",Information Technology(software),"Units 2106 One San Miguel Avenue Building, San Miguel Avenue cor. Shaw Boulevard,  Ortigas, Pasig City, 1600 Philippines"
Act Media Phils,Advertising/Design/Marketing,"186 Magnitude Compound E. Rodriguez Jr. Ave. Brgy Bagumbayan, Quezon city"
Actionlabs Inc.,HR/Software & Computer Services,"384B E Rodriguez Sr. Ave., Cubao, Quezon City"
Active8 Solutions,Information Technology Consultancy .,"Rm. 1005 Medical Plaza Building, San Miguel Avenue, Ortigas Center, Pasig City, Philippines"
"ACUARIO CONSTRUCTiON AND DEVELOPMENT, INC.",Construction & Materials,"Rm-1C Rodolino Bldg. #122, 9th Ave., Cubao, Quezon City"
Acudeen Technologies Inc.,Financial Technology," Unit-6F Cypress Gardens Condominium, 112 VA Rufino Street, Legazpi Village, Makati, 1129."
"Acuity Technologies, Inc.",Information Technology/Software & Computer Services,"4/F Cambridge Centre Building, Tordesillas Street cor. Gallardo Street, Salcedo Village, Makati City, 1227 Philippines"
"Adarna House, Inc. *",Printed Materials,"109 Sct. Fernandez cor. Sct. Torillo Streets, Brgy. Sacred Heart, 1103 Quezon City"
"Adan Manpower and General Services, Inc.",General Industrials,#58 PHILAND DRIVE PASONG TAMO 2
Adebe Realty Company Inc.  *,,Filmore St. cor. Emilio St. Brgy Palanan Makati City
"Admerex Solutions, Inc.",BPO,"14/F & 15/F The Peak Tower, 107 L.P. Leviste Street, Salcedo Village, Makati City, Philippines 1227"
"Advanced Contact Solutions, Inc.",No Documents,"9/F 10/F 11/F 18/F and 20/F Citibank Center, Paseo de Roxas Avenue, Salcedo Village, Makati City, Philippines"
Advanced Electronics Service Corp. / Collins International *,"Hardware, software and Outsourcing solutions","412 Amang Rodriguez Avenue, Manggahan, Pasig City, Philippines"
Advanced World Solutions Inc.,,"1F Multinational Bancorporation Centre, 6805 Ayala Avenue, Makati City"
"Advanced World Systems, Inc. *",,"5/F ATC BPO1 Madrigal Ave, Alabang Town Center, Ayala-Alabang, Muntinlupa City"
"Aegis PeopleSupport Philippines, Inc.",,"People Support Center Ayala Avenue cor. Sen. Gil Puyat Avenue, Makati City, 1200 Philippines"
AERFLOW ELECTROMECHANICAL SUPPLY AND SERVICES CORP.,Industrial Engineering,12 P VALENZUELA STREET MARIKINA HEIGHTS
Affinity Express Philippines,BPO/Advertising,"4/F Building Delta UP-AyalaLand TechnoHub, Commonwealth Avenue, Diliman, Quezon City 1101, Philippines"
Afni Philippines,BPO,4/f One felicity Center Commonwealth Ave. Quezon city
Agia Realty and Development Corporation,,"G. Pangalinan Street, Friendly Village, Concepcion, Marikina City, Philippines"
"Agrigrocer, Inc.",,"9/F Suite 907: The Taipan Place, F. Ortigas Jr. Road Ortigas Center, Pasig City"
Aguora IT Solutions Technology,Software and computer services,"3rd Floor, Trinity Building, 26 East Capitol Drive,  Brgy Kapitolyo, Pasig City"
Airjelle Cargo and Logistics Inc,Others:Logistics/ Freight Forwarding,Unit B-U Phintecstar Bldg. 492 Sumulung Highway Brgy. San Isidtro Cainta Rizal
Akira Philippines,,"Km 25, West Service Road, Cupang, Muntinlupa City, Philippines"
Al Nakheel Group Corporation,Real state,"1219 City Land Herrera Tower VA Rufino cor. VA Valero, Bel Air, Makati City, Philippines"
Albion Construction,,"Rm. 304 ECRDC Condominium, 496 Baranka cor. Talumpong Street, Bgy. Malamig, Mandaluyong City, Philippines"
"ALC Holdings Company, Inc.",Management Consulting,"47, Esteban Abada Street, Quezon City, 1100 Metro Manila"
"Alcon Philippines Technologies and Solutions, Inc. *",Technology Hardware & Equipment,"2/F Audi bldg 136, Congressional Ave., Proj 8, Quezon City"
"ALE Heavylift (Philippines), Inc.",Heavy Lifting And Transportation .,"Unit 601 Common Coal Tower, Finance Street, Madrigal Business Park Alabang, Muntinlupa City, Philippines"
Alecto General Technology Corporation,Construction and Materials,"9694 Pililia st. Corner Conception sts., Brgy. Valenzuela Makati City"
Aling Ising's Pancit Malabon,Retailers,"49-c Regalado Ave. West Fairview, Quezon city"
Aliw Broadcasting Corporation *,Information Communication Broadcasting,"5/F Citystate Centre, 709 Shaw Blvd., Brgy. Oranbo, Pasig City, Philippines"
All Numeric (ANSI),,
All Visual And Lights System,Trading,Acc Corporate Center E. Rodriguez Jr. Ave. Libis Quezon City
Allcard Technologies Corp. *,Manufacturer Of Plactics,"48th Floor, One San Miguel Building, San Miguel Ave., cor. Shaw Blvd. Ortigas Center, Pasig City"
"Allied Telesis Labs (Philippines), Inc.",Networking Hardware,"3/F Net One Center, 3rd Avenue cor. 26th Street, Bonifacio Global City, Taguig City, 1634 Philippines"
"Alsons/AWS Information Systems, Inc. (AASI)",IT Company,"Don Jacinto 4th Floor Salcedo St., Legaspi Village, Makati City"
"Alter Media Solutions, Inc. (Youthopia)",Communication Software,"Unit 4E Cypress Garden Condominium,112 rufino street,Legaspi Village, Makati City"
Altis Construction,Contractor,"8 Free Press, West Triangle, Quezon City, Philippines"
Altman Rito Minagawa Solutions Inc. *,Software and Computer Services,"G/F Timstate Bldg., 5438 Osmena Highway, Makati City"
Altrion Technologies Philippines,Software and Computer Services,"Unit 7A Excelsior Tower 2, Eastwood City Bagumbayan, Quezon City"
Alvalink Electric and Construction Corporation,,
Alveo Land Corp.,Real State,"728 28th st. Taguig, 1634 Metro Manila"
Amadeus Philippines,"Professional, Scientific, and Technical Services",36/F LKG Tower 6801 Ayala Ave. Makati
Amaii Construction And Development,Construction and Materials,"Klircon Bldg. 2/f Rocka Village ll, Rocka Avenue Tabang, Plaridel, Bulacan"
Amara En Terrazas Condominium Corp.,Condominium Corp,"Terrazas De Punta Fuego Village Brgy. Natipunan, Nasugbu Batangas"
Ambidextr Corporation,Advertising/Design/Marketing,"5/f Paseo Center, 8757 Paseo de Roxas Salcedo Village, Makati City"
"AMDG Development & Logistics, Inc",,
Amellar Solutions *,Software and Computer Services .,"48 Sta. Gertrudes St., Longressional Village, Project 8, Quezon City"
"American Wire & Cable Co., Inc.",Manufacturer of Electrical Wires and Cable,"8508 Km. 16 South Super Highway 1700 Parañaque City, Philippines"
"AMG Systemtechnik, Inc. *",Industrial Automation,"Unit 3004 30/F One Corporate Center, Julia Vargas cor. Meralco Avenue, Ortigas Center, Pasig City, Philippines"
"Amici Mercantile, Inc. *",Water System Marketing,"86A Victoria Villas Building, Mayon Avenue, Brgy. Sta. Teresita, Quezon City, Philippines"
"Amkor Technologies, Inc. (Amkor Technology Philippines, Inc.) *",Semi Conductor Manufacturing,"Area 6. Km. 22 East Service Road, Cupang, Muntinlupa City, Philippines"
Ampilam Enterprises,General Industrials,"#41 Don M. Trinidad St., Norzagaray Bulacan"
